15/07/2024,CAFE AMIGO LONG LANE ))),-13.45
15/07/2024,COSTCUTTER IVER ))),-7.25
15/07/2024,SAINSBURYS S/MKTS SURBITON ))),-33.52
15/07/2024,SHELL MONTAGU ROAD SANDWICH ))),-8.50
15/07/2024,INTERACTIVE INVEST DD,-540.00
12/07/2024,INTERACTIVE INVEST FIRST PAYMENT DD,-11.99
11/07/2024,BUDGENS THAMES DITTO ))),-2.69
11/07/2024,NICE BUNS  CAFE THAMES DITTON ))),-38.70
11/07/2024,JOHN LEWIS WOOD STREET ))),-3.40
11/07/2024,JOHN LEWIS KINGSTON ))),-77.00
11/07/2024,WAITROSE 195 KINGSTON ))),-31.39
10/07/2024,VRISTHI NEWS THAMES DITTON ))),-15.24
10/07/2024,Gareth John Opera Singer Taxi BP,-132.89
09/07/2024,BUDGENS THAMES DITTO ))),-9.98
